"USER_ID","USER_PASSWORD","USER_NAME","USER_ROLE","USER_ADDRESS","USER_PHONENUMBER","USER_EMAIL","UPDATE_TIME"
"78537534","123456","15325",1,"22","22","2@2",23-07-18 16:03:36.471000000
"7890","123456","213",1,"214","21","2@2",23-07-18 14:35:24.762000000
"456","123456","ƒTƒ€",1,"123","123","123@5",23-07-18 16:11:20.324000000
"12345","123456","1234",1,"1","12312312312","1@3",23-07-03 11:55:33.628000000
"1235","123456","123",1,"123","12312312312","12@2",23-07-05 14:41:41.926000000
"123","123456","taro123",1,"zeruq","2315325","s.whon.zeruq@gmail.com",23-07-10 12:47:19.111000000
"wong123","123456","admin_wong",0,"Japan","xxx","xxx",23-06-14 11:37:38.256000000
"789999","123456","213",1,"123","123","123@2",23-07-18 11:54:15.603000000
"789","123456","123",1,"123","123123","123@213",23-07-18 13:02:46.730000000
"7891","123456","123",1,"123","123","1@2",23-07-18 15:14:44.773000000
